label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered,bytes_acked
wi-fi,37.65.43.81,67377,544767,668,38070,2092,0,0,1,2104,53687692,674156,976113144
wi-fi,37.65.43.81,63711,507922,700,38070,2079,0,0,0,2111,57773809,676857,980025032
wi-fi,37.65.43.81,62601,500130,353,38070,2096,0,0,1,2122,58979660,680489,985282112
wi-fi,37.65.43.81,73918,592611,475,38070,2122,0,0,0,2129,49939679,683205,989215720
wi-fi,37.65.43.81,64743,518922,1281,38070,2107,0,0,0,2141,57352767,686832,994467008
wi-fi,37.65.43.81,65388,521843,520,38070,2151,0,0,1,2152,57324753,690450,999703208
wi-fi,37.65.43.81,68085,543270,644,38070,2151,0,0,0,2161,55294105,693171,1003644056
wi-fi,37.65.43.81,64152,518090,822,38070,2156,0,0,1,2171,58249795,696788,1008879416
wi-fi,37.65.43.81,64630,515949,554,38070,2155,0,0,0,2181,58760933,699498,1012804336
wi-fi,37.65.43.81,69342,553012,898,38070,2190,0,0,0,2193,55124399,703128,1018059832
wi-fi,37.65.43.81,67128,537130,386,38070,2069,0,0,3,2203,57013129,705834,1021972416
wi-fi,37.65.43.81,66704,531973,715,38070,2197,0,0,1,2216,57905519,709467,1027235288
wi-fi,37.65.43.81,66003,527019,489,38070,2196,0,0,0,2225,58687220,712183,1031168896
wi-fi,37.65.43.81,54640,440483,1785,38070,1559,0,0,0,1559,49199054,714924,1035137256
wi-fi,37.65.43.81,42636,339163,878,38070,1552,0,0,2,1573,64470353,716714,1037725392
wi-fi,37.65.43.81,46731,373385,1002,38070,1594,0,0,2,1595,59380467,720317,1042942536
wi-fi,37.65.43.81,49877,402141,909,38070,1603,0,0,2,1613,55756539,723939,1048187192
wi-fi,37.65.43.81,49272,394087,379,38070,1602,0,0,0,1627,57389869,726652,1052118512
wi-fi,37.65.43.81,48556,392696,563,38070,1615,0,0,0,1645,58230325,730284,1057377648
wi-fi,37.65.43.81,53777,429817,350,38070,1650,0,0,0,1658,53621719,732994,1061301728
wi-fi,37.65.43.81,49196,392546,506,38070,1639,0,0,0,1671,59173286,735705,1065227256
wi-fi,37.65.43.81,51353,413731,1166,38070,1687,0,0,0,1687,56680910,739331,1070477704
wi-fi,37.65.43.81,52444,417272,929,38070,1686,0,0,1,1704,56766241,742949,1075715120
wi-fi,37.65.43.81,54163,433110,661,38070,1710,0,0,0,1716,55075553,745659,1079640648
wi-fi,37.65.43.81,53393,426799,320,38070,1727,0,0,3,1732,56411063,749291,1084895440
wi-fi,37.65.43.81,53966,429439,1076,38070,1730,0,0,1,1743,56420340,751995,1088813728
wi-fi,37.65.43.81,53217,425741,460,38070,1743,0,0,0,1759,57432822,755626,1094072864
wi-fi,37.65.43.81,54038,431282,466,38070,1767,0,0,1,1770,57049485,758330,1097986808
wi-fi,37.65.43.81,50067,406421,821,38070,1753,0,0,0,1784,61018075,761961,1103245944
wi-fi,37.65.43.81,66016,528527,740,38070,1783,0,0,0,1795,47210333,764676,1107177264
wi-fi,37.65.43.81,56299,449566,575,38070,1805,0,0,3,1809,55935162,768302,1112423368
wi-fi,37.65.43.81,54980,438833,612,38070,1815,0,0,0,1823,57746701,771915,1117659336
wi-fi,37.65.43.81,54801,438111,495,38070,1825,0,0,0,1833,58159156,774634,1121596448
wi-fi,37.65.43.81,53928,429287,1002,38070,1840,0,0,1,1845,59743192,778251,1126832416
wi-fi,37.65.43.81,55958,446649,664,38070,1834,0,0,0,1855,57732098,780983,1130789800
wi-fi,37.65.43.81,54664,437814,599,38070,1854,0,0,0,1867,59278126,784596,1136021424
wi-fi,37.65.43.81,60570,486913,1012,38070,1864,0,0,3,1876,53557618,787311,1139947072
wi-fi,37.65.43.81,66524,531261,694,38070,1881,0,0,0,1890,49453116,790931,1145192848
wi-fi,37.65.43.81,63771,508034,893,38070,1896,0,0,1,1899,51960339,793642,1149116320
wi-fi,37.65.43.81,58377,465427,734,38070,1900,0,0,0,1909,57015659,796364,1153058616
wi-fi,37.65.43.81,54539,440202,406,38070,1910,0,0,2,1920,60630201,799989,1158304112
wi-fi,37.65.43.81,61605,491757,734,38070,1929,0,0,1,1928,54499971,802696,1162224688
wi-fi,37.65.43.81,60837,484967,842,38070,1924,0,0,0,1941,55635646,806907,1168322448
wi-fi,37.65.43.81,56338,455086,744,38070,1935,0,0,0,1951,59594144,810294,1173226216
wi-fi,37.65.43.81,65778,526338,676,38070,1939,0,0,0,1960,51764394,813205,1177440736
wi-fi,37.65.43.81,65945,525823,817,38070,1924,0,0,0,1969,52053020,816198,1181773992
