label,connection_id,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,recv_rtt,retrans_out,total_lost,sack_out,total_retrans,rcv_buf,snd_buf,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
fibre,160.217.166.30;43160;5201,2327,17528,601,200000,200003,556,184,0,0,0,1431,0,1431,131072,2854912,210,161712460,18446744073709551615,1074357
fibre,160.217.166.30;43160;5201,1665,14685,543,200000,200003,556,168,0,0,0,1449,0,1449,131072,2854912,177,162688130,18446744073709551615,1082469
fibre,160.217.166.30;43160;5201,2087,16728,276,200000,200003,556,151,0,0,0,1449,0,1449,131072,2854912,195,157342898,18446744073709551615,1090490
fibre,160.217.166.30;43160;5201,2291,17584,524,200000,200003,556,195,0,0,0,1449,0,1449,131072,2854912,209,160429845,18446744073709551615,1098450
fibre,160.217.166.30;43160;5201,2663,20880,385,200000,200003,556,196,0,0,0,1449,0,1449,131072,2854912,233,150619770,18446744073709551615,1106545
fibre,160.217.166.30;43160;5201,2511,21495,466,200000,200003,556,214,0,0,0,1449,0,1449,131072,2854912,251,157613286,18446744073709551615,1115359
fibre,160.217.166.30;43160;5201,2167,16782,332,200000,200003,556,151,0,0,0,1495,0,1495,131072,2854912,185,148793707,18446744073709551615,1123426
fibre,160.217.166.30;43160;5201,2211,17101,372,200000,200003,556,195,0,0,0,1495,0,1495,131072,2854912,209,164961019,18446744073709551615,1130190
fibre,160.217.166.30;43160;5201,2259,17535,352,200000,200003,556,197,0,0,0,1495,0,1495,131072,2854912,212,163187408,18446744073709551615,1133868
fibre,160.217.166.30;43160;5201,2654,20821,365,200000,200003,556,197,0,0,0,1495,0,1495,131072,2854912,235,152343115,18446744073709551615,1142700
fibre,160.217.166.30;43160;5201,2600,22076,642,200000,200003,556,213,0,0,0,1495,0,1495,131072,2854912,254,155299438,18446744073709551615,1150872
fibre,160.217.166.30;43160;5201,2657,21749,474,200000,200003,556,242,0,0,0,1495,0,1495,131072,2854912,271,168184725,18446744073709551615,1158939
fibre,160.217.166.30;43160;5201,2193,17009,368,200000,200003,556,197,0,0,0,1561,0,1561,131072,2854912,207,164266164,18446744073709551615,1167770
fibre,160.217.166.30;43160;5201,2471,19225,419,200000,200003,556,196,0,0,0,1561,0,1561,131072,2854912,226,158671396,18446744073709551615,1175867
fibre,160.217.166.30;43160;5201,2711,21434,346,200000,200003,556,243,0,0,0,1561,0,1561,131072,2854912,248,156172660,18446744073709551615,1184652
fibre,160.217.166.30;43160;5201,3002,23377,368,200000,200003,556,242,0,0,0,1561,0,1561,131072,2854912,266,153585216,18446744073709551615,1192749
fibre,160.217.166.30;43160;5201,2187,16851,438,200000,200003,556,150,0,0,0,1622,0,1622,131072,2854912,195,156194409,18446744073709551615,1200891
fibre,160.217.166.30;43160;5201,2437,18599,318,200000,200003,556,196,0,0,0,1622,0,1622,131072,2854912,222,161109048,18446744073709551615,1208987
fibre,160.217.166.30;43160;5201,2671,21104,298,200000,200003,556,196,0,0,0,1622,0,1622,131072,2854912,240,153498104,18446744073709551615,1217819
fibre,160.217.166.30;43160;5201,2756,21695,399,200000,200003,556,243,0,0,0,1622,0,1622,131072,2854912,260,161759668,18446744073709551615,1225914
fibre,160.217.166.30;43160;5201,2954,23156,283,200000,200003,556,242,0,0,0,1622,0,1622,131072,2854912,275,160297115,18446744073709551615,1234747
fibre,160.217.166.30;43160;5201,2100,16684,387,200000,200003,556,150,0,0,0,1685,0,1685,131072,2854912,195,157757851,18446744073709551615,1236219
fibre,160.217.166.30;43160;5201,2445,18363,606,200000,200003,556,195,0,0,0,1685,0,1685,131072,2854912,215,158034308,18446744073709551615,1242844
fibre,160.217.166.30;43160;5201,1657,12899,388,200000,200003,556,151,0,0,0,1728,0,1728,131072,2854912,162,169517885,18446744073709551615,1251674
fibre,160.217.166.30;43160;5201,2142,15433,616,200000,200003,556,149,0,0,0,1728,0,1728,131072,2854912,194,169671120,18446744073709551615,1259772
fibre,160.217.166.30;43160;5201,2227,17263,421,200000,200003,556,196,0,0,0,1728,0,1728,131072,2854912,208,162631106,18446744073709551615,1267867
